item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q109657125,NormalRank,Q6581097,true,false,,,,
Q109661097,NormalRank,Q6581097,true,true,false,false,false,true
Q110243150,NormalRank,Q6581097,true,false,,,,
Q16194844,NormalRank,Q6581097,true,false,,,,
Q16929585,NormalRank,Q6581097,true,false,,,,
Q19605129,NormalRank,Q6581097,true,false,,,,
Q19631293,NormalRank,Q6581097,true,false,,,,
Q208497,NormalRank,Q6581097,true,true,false,false,false,true
Q227716,NormalRank,Q6581097,true,true,false,false,false,true
Q227716,NormalRank,Q6581097,true,true,true,false,false,false
Q25701258,NormalRank,Q6581097,true,true,false,true,false,false
Q25701935,NormalRank,Q6581097,true,false,,,,
Q273739,NormalRank,Q6581097,true,true,false,false,false,true
Q28910910,NormalRank,Q6581072,true,true,false,true,false,false
Q28910910,NormalRank,Q6581072,true,true,false,false,false,true
Q31827675,NormalRank,Q6581097,true,false,,,,
Q319953,NormalRank,Q6581097,true,false,,,,
Q3470867,NormalRank,Q6581097,true,false,,,,
Q3485136,NormalRank,Q6581097,true,false,,,,
Q3519291,NormalRank,Q6581097,true,false,,,,
Q3567558,NormalRank,Q6581097,true,false,,,,
Q3594634,NormalRank,Q6581097,true,false,,,,
Q3594635,NormalRank,Q6581097,true,false,,,,
Q42509756,NormalRank,Q6581072,true,true,false,false,false,true
Q48778102,NormalRank,Q6581097,true,false,,,,
Q5134552,NormalRank,Q6581097,true,false,,,,
Q5431894,NormalRank,Q6581097,true,false,,,,
Q5437258,NormalRank,Q6581097,true,false,,,,
Q5441615,NormalRank,Q6581072,true,false,,,,
Q55238056,NormalRank,Q6581072,true,true,false,true,false,false
Q55238056,NormalRank,Q6581072,true,true,false,false,false,true
Q5683504,NormalRank,Q6581097,true,false,,,,
Q6225541,NormalRank,Q6581097,true,false,,,,
Q6379181,NormalRank,Q6581097,true,false,,,,
Q6558877,NormalRank,Q6581097,true,false,,,,
Q6928173,NormalRank,Q6581097,true,false,,,,
Q7036716,NormalRank,Q6581097,true,false,,,,
Q70515784,NormalRank,Q6581097,true,false,,,,
Q7449656,NormalRank,Q6581097,true,false,,,,
Q7449658,NormalRank,Q6581097,true,false,,,,
Q7525389,NormalRank,Q6581097,true,false,,,,
Q7525391,NormalRank,Q6581097,true,false,,,,
Q7525392,NormalRank,Q6581097,true,false,,,,
Q7525417,NormalRank,Q6581097,true,false,,,,
Q7531909,NormalRank,Q6581097,true,false,,,,
Q7563830,NormalRank,Q6581097,true,false,,,,
Q7707162,NormalRank,Q6581097,true,false,,,,
Q7930213,NormalRank,Q6581097,true,false,,,,
Q7930216,NormalRank,Q6581097,true,false,,,,
Q8083950,NormalRank,Q6581097,true,false,,,,
Q8083951,NormalRank,Q6581072,true,false,,,,
Q8083956,NormalRank,Q6581097,true,false,,,,
Q8084044,NormalRank,Q6581097,true,false,,,,
Q808685,NormalRank,Q6581097,true,false,,,,
Q96278954,NormalRank,Q6581097,true,true,false,false,false,true
Q96314730,NormalRank,Q6581072,true,true,false,true,false,false
Q96362710,NormalRank,Q6581097,true,true,false,false,false,true
Q96470811,NormalRank,Q6581097,true,true,false,false,false,true
Q96476105,NormalRank,Q6581097,true,true,false,false,false,true
Q96479418,NormalRank,Q6581097,true,true,false,false,false,true
Q96479582,NormalRank,Q6581097,true,true,false,false,false,true
Q96482295,NormalRank,Q6581097,true,true,false,false,false,true
Q96574147,NormalRank,Q6581097,true,true,false,false,false,true
Q96574317,NormalRank,Q6581097,true,true,false,false,false,true
Q96592493,NormalRank,Q6581097,true,true,false,false,false,true
Q57880,NormalRank,Q6581097,true,false,,,,
