position,person,personID,start,end
monarch,Tāufaʻāhau Tupou IV of Tonga,Q273739,1965-12-16,2006-09-10
monarch,George Tupou V of Tonga,Q227716,2006-09-11,2012-03-18
monarch,Tupou VI of Tonga,Q208497,2012-03-18,
Prime Minister,Baron Vaea,Q808685,1991-08-22,2000-01-03
Prime Minister,Tupou VI of Tonga,Q208497,2000-01-03,2006-02-11
Prime Minister,Feleti Sevele,Q319953,2006-03-30,2010-12-22
Prime Minister,Sialeʻataongo Tuʻivakanō,Q57880,2010-12-22,2014-12-30
Prime Minister,ʻAkilisi Pohiva,Q3594634,2014-12-30,2019-09-12
Prime Minister,Semisi Sika,Q7449656,2019-09-12,2019-10-08
Prime Minister,Pohiva Tuʻiʻonetoa,Q48778102,2019-10-08,2021-12-27
Prime Minister,Hu'akavameiliku,Q19631293,2021-12-27,
Deputy Prime Minister,Samiu Vaipulu,Q3470867,2011-01-05,2014-12-30
Deputy Prime Minister,Hu'akavameiliku,Q19631293,2014-12-30,2017-09-06
Deputy Prime Minister,Semisi Sika,Q7449656,2017-01-16,2019-10-10
Deputy Prime Minister,Lord Maʻafu,Q3485136,2017-09-05,2021-12-12
Deputy Prime Minister,Sione Vuna Fa’otusia,Q70515784,2019-10-10,2020-12-14
Deputy Prime Minister,Poasi Tei,Q96479418,2021-12-28,2022-05-13
"Minister for Agriculture, Food, and Forests",ʻAlipate Tuʻivanuavou Vaea,Q3594635,2011-01-04,2012-07-13
"Minister for Agriculture, Food, and Forests",Sione Sangster Saulala,Q7525391,2012-07-13,2014-11-27
"Minister for Agriculture, Food, and Forests",Semisi Fakahau,Q96482295,2014-12-30,2019-01-23
"Minister for Agriculture, Food, and Forests",Losaline Ma'asi,Q55238056,2019-01-23,2019-10-10
"Minister for Agriculture, Food, and Forests","Malakai Fakatoufifita, 15th Lord Tuʻilakepa",Q3567558,2019-10-08,2021-12-27
"Minister for Agriculture, Food, and Forests",Viliami Hingano,Q96592493,2021-12-28,2022-06-10
"Minister for Agriculture, Food, and Forests",Sione Siale Fohe,Q31827675,2022-07-29,
Minister of Defence,Lord Maʻafu,Q3485136,2019-10-09,2021-12-12
Minister of Defence,Hu'akavameiliku,Q19631293,2021-12-28,
Minister for Education and Training,Tevita Hala Palefau,Q7707162,2005-01-25,2010
Minister for Education and Training,Sosefo Fe‘aomoeata Vakata,Q7563830,2011-01-04,2012-05-01
Minister for Education and Training,ʻAna Taufeʻulungaki,Q8083951,2011-01-04,2015-01-04
Minister for Education and Training,ʻAlipate Tuʻivanuavou Vaea,Q3594635,2012-05-01,2014-12-30
Minister for Education and Training,Penisimani Fifita,Q96470811,2017-01-16,2019-10-10
Minister for Education and Training,Hu'akavameiliku,Q19631293,2019-10-10,
Minister for the Environment and Climate Change,Lord Maʻafu,Q3485136,2009-07,2014-12-30
Minister for the Environment and Climate Change,Hu'akavameiliku,Q19631293,2014-12-30,2017-09-06
Minister for the Environment and Climate Change,Poasi Tei,Q96479418,2018-01-04,
Minister of Finance,Lisiate ‘Akolo,Q6558877,2012-05-01,2014-01-09
Minister of Finance,ʻAisake Eke,Q8083950,2014-01-13,2017-03-06
Minister of Finance,Tevita Lavemaau,Q96574147,2017-03-06,2017-09-01
Minister of Finance,Pohiva Tuʻiʻonetoa,Q48778102,2018-01,2019-10
Minister of Finance,Tevita Lavemaau,Q96574147,2019-10-10,2021-12-28
Minister of Finance,Tatafu Moeaki,Q109661097,2021-12-28,2022-03-28
Minister of Finance,Samiu Vaipulu,Q3470867,2022-03-28,
Minister for Fisheries,Semisi Fakahau,Q96482295,2014-12-30,2019-10-10
Minister for Fisheries,Semisi Fakahau,Q96482295,2021-12-28,
Minister of Foreign Affairs,ʻAkilisi Pohiva,Q3594634,2018-01-20,2019-09-12
Minister of Foreign Affairs,Fekitamoeloa 'Utoikamanu,Q5441615,2021-12-28,
Minister of Health,ʻAkilisi Pohiva,Q3594634,2011-01-04,2011-01-13
Minister of Health,Lord Tonga Tuʻiʻafitu,Q16194844,2012-07-05,2014-11-27
Minister of Health,Saia Piukala,Q96278954,2014-12-30,2019-10-10
Minister of Health,‘Amelia Afuha’amango Tu’ipulotu,Q96314730,2019-10-10,2021-12-27
Minister of Health,Saia Piukala,Q96278954,2021-12-28,
Minister of Infrastructure,Samiu Vaipulu,Q3470867,2013-01-07,2014-12-30
Minister of Infrastructure,‘Etuate Lavulavu,Q8084044,2014-12-30,2016-01-29
Minister of Infrastructure,Semisi Sika,Q7449656,2016-04-18,2019-10-10
Minister of Infrastructure,‘Akosita Lavulavu,Q28910910,2019-10-10,2021-12-27
Minister of Infrastructure,Sevenitini Toumoʻua,Q110243150,2021-12-28,
Minister for Internal Affairs,Sosefo Fe‘aomoeata Vakata,Q7563830,2014-12-30,2016-09-16
Minister for Internal Affairs,Penisimani Fifita,Q96470811,2016-10-17,2017-01-16
Minister for Internal Affairs,‘Akosita Lavulavu,Q28910910,2018-01-18,2018-04-11
Minister for Internal Affairs,Losaline Ma'asi,Q55238056,2018-06-26,2019-01-21
Minister for Internal Affairs,Saia Piukala,Q96278954,2019-01-23,2019-10-10
Minister for Internal Affairs,Vatau Hui,Q96479582,2019-10-10,2021-12-27
Minister for Internal Affairs,Sione Sangster Saulala,Q7525391,2021-12-28,2022-05-02
Minister of Justice,'Alisi Afeaki Taumoepeau,Q42509756,2006,2009-05-31
Minister of Justice,Samiu Vaipulu,Q3470867,2009-11-10,2011-09-01
Minister of Justice,Sione Vuna Fa’otusia,Q70515784,2014-12-30,2020-12-14
Minister of Justice,Samiu Vaipulu,Q3470867,2021-01-25,2022-03-28
Minister of Justice,Fekitamoeloa 'Utoikamanu,Q5441615,2022-03-28,
"Minister for Labour, Commerce and Industries",ʻIsileli Pulu,Q8083956,2011-09-01,2012-06-25
Minister for Lands and Natural Resources,Lord Maʻafu,Q3485136,2011-01-04,2021-12-12
Minister for Lands and Natural Resources,Lord Tonga Tuʻiʻafitu,Q16194844,2021-12-28,
Minister of Police,Viliami Latu,Q7930213,2010-01-04,2011-08-31
Minister of Police,Siosifa Tuʻitupou Tuʻutafaiva,Q7525417,2013-02-02,2014-11-27
Minister of Police,Mateni Tapueluelu,Q19605129,2017-03-06,2019-10-10
Minister of Police,Lord Nuku,Q25701258,2019-10-08,2021-12-27
Minister of Police,Hu'akavameiliku,Q19631293,2021-12-28,
Minister for Public Enterprises,Sosefo Fe‘aomoeata Vakata,Q7563830,2013-02-02,2014-12-30
Minister for Public Enterprises,Poasi Tei,Q96479418,2014-12-30,2018-01-04
Minister for Public Enterprises,Saia Piukala,Q96278954,2018-01-04,2019-01-23
Minister for Public Enterprises,Poasi Tei,Q96479418,2021-12-28,2022-05-13
Minister for Revenue,Sosefo Fe‘aomoeata Vakata,Q7563830,2012-05-01,2013-02-02
Minister for Revenue,Siosifa Tuʻitupou Tuʻutafaiva,Q7525417,2013-02-02,2014-11-27
Minister for Revenue and Customs,Tevita Lavemaau,Q96574147,2014-12-30,2017-03-06
Minister for Revenue and Customs,Tevita Lavemaau,Q96574147,2019-10-10,2021-12-28
Minister for Revenue and Customs,Tatafu Moeaki,Q109661097,2021-12-28,2022-03-28
