position,person,personID,start,end
Member of the Legislative Assembly of Tonga,"Malakai Fakatoufifita, 15th Lord Tuʻilakepa",Q3567558,2005,
Member of the Legislative Assembly of Tonga,Lord Maʻafu,Q3485136,2008-04-23,2021-12-12
Member of the Legislative Assembly of Tonga,"Fatafehi Fakafānua, 8th Lord Fakafānua",Q5437258,2008-04-23,2014-11-26
Member of the Legislative Assembly of Tonga,Lord Tonga Tuʻiʻafitu,Q16194844,2010-11-25,
Member of the Legislative Assembly of Tonga,ʻAlipate Tuʻivanuavou Vaea,Q3594635,2010-11-25,2017-11-16
Member of the Legislative Assembly of Tonga,Kaveinga Faʻanunu,Q6379181,2010-11-25,2011-07-24
Member of the Legislative Assembly of Tonga,Moʻale Finau,Q6928173,2010-11-25,2014-11-27
Member of the Legislative Assembly of Tonga,Semisi Tapueluelu,Q7449658,2010-11-25,2014-11-27
Member of the Legislative Assembly of Tonga,Sione Taione,Q7525392,2010-11-25,2014-11-27
Member of the Legislative Assembly of Tonga,Siosifa Tuʻitupou Tuʻutafaiva,Q7525417,2010-11-25,2014-11-27
Member of the Legislative Assembly of Tonga,Sosefo Fe‘aomoeata Vakata,Q7563830,2010-11-25,2017-11-16
Member of the Legislative Assembly of Tonga,Viliami Latu,Q7930213,2010-11-25,2014-11-27
Member of the Legislative Assembly of Tonga,ʻAisake Eke,Q8083950,2010-11-25,2017-11-16
Member of the Legislative Assembly of Tonga,Samiu Vaipulu,Q3470867,2010-11-26,
Member of the Legislative Assembly of Tonga,ʻAkilisi Pohiva,Q3594634,2010-11-26,2019-09-12
Member of the Legislative Assembly of Tonga,Lisiate ‘Akolo,Q6558877,2010-11-26,2014-11-27
Member of the Legislative Assembly of Tonga,Semisi Sika,Q7449656,2010-11-26,
Member of the Legislative Assembly of Tonga,Sione Sangster Saulala,Q7525391,2010-11-26,2014-11-27
Member of the Legislative Assembly of Tonga,Sitiveni Halapua,Q7531909,2010-11-26,2014-11-27
Member of the Legislative Assembly of Tonga,ʻIsileli Pulu,Q8083956,2010-11-26,2014-11-27
Member of the Legislative Assembly of Tonga,Falisi Tupou,Q5431894,2011-09-15,2014-11-27
Member of the Legislative Assembly of Tonga,Mataʻiʻulua ‘i Fonuamotu,Q16929585,2014-05-21,
Member of the Legislative Assembly of Tonga,Mateni Tapueluelu,Q19605129,2014-11-25,
Member of the Legislative Assembly of Tonga,Hu'akavameiliku,Q19631293,2014-11-27,
Member of the Legislative Assembly of Tonga,Pohiva Tuʻiʻonetoa,Q48778102,2014-11-27,
Member of the Legislative Assembly of Tonga,Sione Vuna Fa’otusia,Q70515784,2014-11-27,2021-08-29
Member of the Legislative Assembly of Tonga,Saia Piukala,Q96278954,2014-11-27,
Member of the Legislative Assembly of Tonga,Veivosa Taka,Q96362710,2014-11-27,
Member of the Legislative Assembly of Tonga,Penisimani Fifita,Q96470811,2014-11-27,
Member of the Legislative Assembly of Tonga,Poasi Tei,Q96479418,2014-11-27,2022-05-13
Member of the Legislative Assembly of Tonga,Semisi Fakahau,Q96482295,2014-11-27,
Member of the Legislative Assembly of Tonga,Tevita Lavemaau,Q96574147,2014-11-27,2021-11-18
Member of the Legislative Assembly of Tonga,Viliami Hingano,Q96592493,2014-11-27,2017-11-16
Member of the Legislative Assembly of Tonga,‘Etuate Lavulavu,Q8084044,2014-12-29,2016-01-29
Member of the Legislative Assembly of Tonga,‘Akosita Lavulavu,Q28910910,2016-07-14,
Member of the Legislative Assembly of Tonga,Losaline Ma'asi,Q55238056,2017-11-16,
Member of the Legislative Assembly of Tonga,Moʻale Finau,Q6928173,2017-11-16,
Member of the Legislative Assembly of Tonga,Nikotimasi Fatafehi Laufilitonga Kakau Vaha'i,Q7036716,2017-11-16,2021-11-18
Member of the Legislative Assembly of Tonga,Vatau Hui,Q96479582,2017-11-16,
Member of the Legislative Assembly of Tonga,Siaosi Pōhiva,Q96476105,2019-11-28,
Member of the Legislative Assembly of Tonga,Taniela Fusimalohi,Q109657125,2021-11-18,
Member of the Legislative Assembly of Tonga,Tatafu Moeaki,Q109661097,2021-11-18,
Member of the Legislative Assembly of Tonga,Sevenitini Toumoʻua,Q110243150,2021-11-18,
Member of the Legislative Assembly of Tonga,Sione Sangster Saulala,Q7525391,2021-11-18,2022-05-02
Member of the Legislative Assembly of Tonga,Viliami Latu,Q7930213,2021-11-18,
Member of the Legislative Assembly of Tonga,Viliami Hingano,Q96592493,2021-11-18,2022-06-10
