wanted,position,positionid,from,start,end
Q28910910,Minister of Tourism,Q108888428,Q5441615,2021-12-28,
Q3567558,Minister for Fisheries,Q108888397,Q96482295,2021-12-28,2022-10-27
Q48778102,Minister for Public Enterprises,Q108888368,Q96479418,2021-12-28,2022-05-13
Q48778102,Minister of Foreign Affairs,Q19901426,Q5441615,2021-12-28,
Q48778102,Minister for Revenue and Customs,Q108887702,Q96574147,2019-10-10,2021-12-28
Q48778102,Minister for Trade and Economic Development,Q108888380,Q96574317,2018-01-04,2019-10-10
Q57880,Speaker of the Legislative Assembly,Q108888391,Q5437258,2017-12,2021-11-20
Q48778102,Minister of Police,Q108888413,Q19605129,2017-03-06,2019-10-10
Q3594634,Minister for Education and Training,Q108888371,Q96470811,2017-01-16,2019-10-10
Q48778102,Minister of Infrastructure,Q108887638,Q7449656,2016-04-18,2019-10-10
Q48778102,Minister of Justice,Q108887653,Q70515784,2014-12-30,2020-12-14
Q7525391,Minister for Fisheries,Q108888397,Q96482295,2014-12-30,2019-10-10
Q7525417,Minister for Revenue and Customs,Q108887702,Q96574147,2014-12-30,2017-03-06
Q7640273,Member of the Legislative Assembly of Tonga,Q21328621,Q96574147,2014-11-27,2021-11-18
Q8084048,Member of the Legislative Assembly of Tonga,Q21328621,Q96362710,2014-11-27,
Q5134552,Minister for Public Enterprises,Q108888368,Q7563830,2013-02-02,2014-12-30
Q57880,Minister of Police,Q108888413,Q7525417,2013-02-02,2014-11-27
Q8084048,Minister of Health,Q108888377,Q16194844,2012-07-05,2014-11-27
Q7640273,Minister for Revenue,Q108888407,Q7563830,2012-05-01,2013-02-02
Q7640273,Minister of Finance,Q104855433,Q6558877,2012-05-01,2014-01-09
Q6558877,"Minister for Labour, Commerce and Industries",Q108888441,Q8083956,2011-09-01,2012-06-25
Q7930216,Deputy Prime Minister,Q108887636,Q3470867,2011-01-05,2014-12-30
Q3558420,"Minister for Agriculture, Food, and Forests",Q108888398,Q3594635,2011-01-04,2012-07-13
Q7525412,Minister for Lands and Natural Resources,Q108887679,Q3485136,2011-01-04,2021-12-12
Q7930216,Minister of Health,Q108888377,Q3594634,2011-01-04,2011-01-13
Q3519291,Speaker of the Legislative Assembly,Q108888391,Q5683504,2010-12-21,2012-07-18
Q7525382,Member of the Legislative Assembly of Tonga,Q21328621,Q7563830,2010-11-25,2017-11-16
Q7930216,Minister of Police,Q108888413,Q7930213,2010-01-04,2011-08-31
