wanted,position,positionid,from,start,end
Q3594634,Minister for Public Enterprises,Q108888368,Q96278954,2018-01-04,2019-01-23
Q3594634,Minister for Internal Affairs,Q108888383,Q96470811,2016-10-17,2017-01-16
Q3567558,Minister for Fisheries,Q108888397,Q96482295,2014-12-30,2019-10-10
Q48778102,Minister for Revenue and Customs,Q108887702,Q96574147,2014-12-30,2017-03-06
Q48778102,Minister of Police,Q108888413,Q7525417,2013-02-02,2014-11-27
Q96574147,Minister for Revenue,Q108888407,Q7525417,2013-02-02,2014-11-27
Q48778102,Minister of Tourism,Q108888428,Q7930213,2011-09-01,2014-11-27
Q7930213,"Minister for Labour, Commerce and Industries",Q108888441,Q8083956,2011-09-01,2012-06-25
Q3594634,Minister for Education and Training,Q108888371,Q8083951,2011-01-04,2015-01-04
Q8084048,Minister of Health,Q108888377,Q3594634,2011-01-04,2011-01-13
Q6558877,Minister of Police,Q108888413,Q7930213,2010-01-04,2011-08-31
Q5134552,Minister of Justice,Q108887653,Q3470867,2009-11-10,2011-09-01
Q3519291,Speaker of the Legislative Assembly,Q108888391,Q3567558,2008-04-29,2010-12-03
