@@,wdid,name,position
->,Q3594635->Q7525391,ʻAlipate Tuʻivanuavou Vaea->Sangster Saulala,Ministre de l'Intérieur
->,Q3470867,Samiu Vaipulu,Ministre des Finances->Ministre de la Justice et des Prisons
->,Q31827675->Q96592493,Sione Siale Fohe->Viliami Hingano,"Ministre de l'Agriculture, de l'Alimentation et des Forêts"
---,Q5441615,Fekitamoeloa 'Utoikamanu,ministre de la Justice et des Prisons
---,Q19631293,Hu'akavameiliku,Premier ministre des Tonga
+++,Q96482295,Semisi Fakahau,Ministre des Pêcheries
+++,Q96479418,Poasi Tei,Ministre des Entreprises publiques
+++,Q96479418,Poasi Tei,"Ministre de la Météorologie, de l'Énergie, de l'Information, de la Gestion des catastrophes naturelles, de l'Environnement, des Communications, et du Réchauffement climatique"
+++,Q96479418,Poasi Tei,Vice-Premier ministre
+++,Q19631293,Siaosi Sovaleni,Premier ministre
+++,Q109661097,Tatafu Moeaki,Ministre des Douanes
+++,Q109661097,Tatafu Moeaki,Ministre des Finances
