position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q915636,Prime Minister of Tonga,Q678,Tonga,Q678,Tonga,1876-01-01,,,,,,,,,
Q4818619,Attorney General of Tonga,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q19901426,Minister of Foreign Affairs,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q21328621,Member of the Legislative Assembly of Tonga,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q30817253,Tongan Ambassador to China,Q678,Tonga,,,,,,,,,,,,
Q38250570,Tongan Ambassador to the United States,Q678,Tonga,,,,,,,,,,,,
Q42298576,Monarch of Tonga,Q678,Tonga,Q678,Tonga,1845-12-04,,,,,,,,Q836240,list of monarchs of Tonga
Q104855433,Minister of Finance,,,Q678,Tonga,,,,,,,,,,
Q107126597,ambassador of Tonga,Q678,Tonga,,,,,,,,,,,,
Q108887636,Deputy Prime Minister of Tonga,,,Q678,Tonga,,,,,,,,,,
Q108887638,Minister of Infrastructure of Tonga,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108887653,Minister of Justice of Tonga,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108887679,Minister for Lands and Natural Resources,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108887682,Minister for the Environment and Climate Change,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108887702,Minister for Revenue and Customs,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888368,Minister for Public Enterprises,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888371,Minister for Education and Training,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888377,Minister of Health,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888380,Minister for Trade and Economic Development,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888383,Minister for Internal Affairs,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888391,Speaker of the Legislative Assembly of Tonga,,,Q678,Tonga,,,,,,,,,,
Q108888397,Minister for Fisheries,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888398,"Minister for Agriculture, Food, and Forests",Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888407,Minister for Revenue,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888413,Minister of Police,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888428,Minister of Tourism,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q108888441,"Minister for Labour, Commerce and Industries",Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q109918661,Minister of Defence and His Majesty's Armed Forces,Q678,Tonga,Q678,Tonga,,,,,,,,,,
Q109918774,Governor of the National Reserve Bank of Tonga,Q678,Tonga,,,,,,,,,,,,
Q109918793,Chief of Defence Staff of Tonga,,,Q678,Tonga,,,,,,,,,,
